55.0,218.0,107.0,269.0,256.0,56.5,279.0
55.0,211.0,107.0,276.0,247.0,55.0,283.0
55.0,208.0,110.0,280.0,247.5,56.0,285.5
54.5,208.0,109.0,267.0,249.0,53.5,279.0
52.0,199.0,109.0,257.0,244.5,51.0,267.0
52.0,198.0,104.0,272.0,237.5,51.0,275.0
49.0,197.0,103.5,266.0,234.0,51.0,270.5
50.0,192.0,100.0,268.0,231.0,51.0,268.5
49.0,187.0,94.0,249.5,215.5,47.0,255.0
48.0,171.0,90.0,239.0,200.5,42.0,237.0
47.0,156.0,86.0,227.5,185.0,40.0,225.0
42.5,151.5,79.0,206.0,173.0,36.0,203.5
40.0,134.0,72.0,186.0,156.0,33.0,180.5
39.0,141.5,68.0,176.0,159.0,31.0,173.0
38.0,121.0,69.0,167.0,141.0,30.0,165.0
37.0,118.0,68.5,165.0,141.0,29.0,161.0
36.0,111.0,68.0,152.0,132.0,29.0,149.0
33.0,103.0,65.0,142.0,124.0,28.0,140.5
32.0,95.0,64.0,134.0,117.0,27.0,130.0
29.0,91.0,58.0,123.0,108.0,25.0,120.0
28.0,87.0,56.5,118.0,107.5,25.0,116.0
27.0,81.0,51.5,119.0,100.0,23.0,115.0
25.0,75.0,54.0,112.5,99.0,22.0,108.0
24.0,72.0,50.5,105.0,93.0,21.0,102.0
24.0,69.0,52.0,106.0,92.5,22.0,102.0
23.0,67.0,50.0,103.0,89.5,19.0,100.0
22.0,67.0,55.0,104.0,94.0,21.0,101.0
22.0,66.0,57.0,101.0,102.0,21.0,99.0
21.0,67.0,63.0,103.0,104.0,21.0,99.5
20.0,62.0,58.5,101.0,94.0,19.0,98.0
20.0,62.0,57.0,102.0,90.0,20.0,97.0
18.0,56.0,51.0,96.0,81.0,17.0,91.5
17.0,48.0,48.0,91.0,75.0,17.0,86.0
15.0,43.0,42.0,82.0,63.0,16.0,77.0
14.0,38.5,40.0,73.0,56.0,15.0,71.0
13.0,34.0,33.0,64.0,49.0,14.0,61.0
12.0,30.0,29.0,56.0,43.0,13.0,54.0
11.0,26.0,25.0,49.0,35.0,11.0,48.0
10.0,22.0,25.0,44.0,33.0,11.0,42.0
9.0,19.0,23.0,38.0,30.0,10.0,37.0
7.0,16.0,19.0,34.0,24.0,9.0,32.0
7.0,14.0,17.0,28.0,21.0,8.0,27.0
6.0,12.0,15.5,24.0,18.0,7.0,24.0
6.0,11.0,14.0,22.0,16.0,7.0,20.0
5.5,9.0,12.0,18.5,14.0,6.0,18.0
5.0,8.0,12.0,17.0,12.0,5.0,17.0
3.0,7.0,11.0,16.0,11.0,7.0,16.0
3.0,7.0,12.0,15.0,13.0,7.0,15.0
3.0,6.0,9.0,13.0,10.0,4.0,13.0
3.0,5.0,7.0,12.0,9.0,4.0,11.0
2.0,5.0,7.0,10.0,9.0,3.0,9.0
2.0,5.0,7.0,9.0,10.0,3.0,9.0
