location,type,starttime,endtime,coords
Den Haag C.-Den Haag HS,wisselstoring,2016-01-26 17:30,2016-01-26 18:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C./Rotterdam C.,uitloop van werkzaamheden,2016-01-19 05:02,2016-01-19 07:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C./Hoek v H. Strand,defecte spoorbrug,2016-01-15 11:15,2016-01-15 13:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,defecte bovenleiding,2016-01-14 10:25,2016-01-14 15:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,aanrijding,2016-01-12 11:35,2016-01-12 12:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Leiden C.,wisselstoring,2016-01-10 19:34,2016-01-10 22:30,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,defecte trein,2016-01-08 21:36,2016-01-08 22:38,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,seinstoring,2016-01-07 13:34,2016-01-07 14:02,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,inzet van hulpdiensten,2016-01-03 19:07,2016-01-03 20:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,defecte trein,2015-12-22 09:15,2015-12-22 10:01,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,gestrande trein,2015-12-16 19:46,2015-12-16 20:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,inzet van hulpdiensten,2015-12-16 12:29,2015-12-16 13:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag C./Den Haag HS,aanrijding met een persoon,2015-12-10 12:06,2015-12-10 14:40,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Rotterdam C.,defecte trein,2015-12-10 07:08,2015-12-10 07:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Dordrecht-Den Haag HS,defect spoor,2015-12-02 15:37,2015-12-02 17:04,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,aanrijding met een persoon,2015-11-30 10:56,2015-11-30 12:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,uitloop van werkzaamheden,2015-11-26 05:07,2015-11-26 06:01,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden C.-Den Haag C.,defecte trein,2015-11-25 20:27,2015-11-25 21:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Breda,verstoring elders,2015-11-24 12:27,2015-11-24 15:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,eerdere verstoring,2015-11-10 08:14,2015-11-10 09:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,wisselstoring,2015-11-03 18:50,2015-11-03 00:39,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,wisselstoring,2015-11-03 17:57,2015-11-03 18:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag C./Den Haag HS,aanrijding met een persoon,2015-10-31 08:54,2015-10-31 12:19,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.,defect spoor,2015-10-29 06:23,2015-10-29 08:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,herstelwerkzaamheden,2015-10-26 08:28,2015-10-26 09:07,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Delft-Den Haag HS,aanrijding met een persoon,2015-10-23 10:47,2015-10-23 13:50,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.,stroomstoring,2015-10-21 15:29,2015-10-21 16:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,gestrande trein,2015-10-20 07:15,2015-10-20 08:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Dordrecht,eerdere verstoring,2015-10-19 21:11,2015-10-19 23:00,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,inzet van hulpdiensten,2015-10-16 07:51,2015-10-16 08:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,defecte trein,2015-10-15 18:21,2015-10-15 19:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C.,defecte trein,2015-10-12 07:27,2015-10-12 08:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Delft,herstelwerkzaamheden,2015-10-10 08:15,2015-10-10 08:55,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,defecte trein,2015-10-08 17:35,2015-10-08 18:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,herstelwerkzaamheden,2015-10-06 21:16,2015-10-06 22:36,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag C.,wisselstoring,2015-10-05 17:01,2015-10-05 17:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Almere C./Hilversum,eerdere verstoring,2015-10-02 12:04,2015-10-02 14:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag C./Den Haag HS,aanrijding met een persoon,2015-10-02 08:16,2015-10-02 12:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Rotterdam C.,defecte trein,2015-09-30 18:44,2015-09-30 19:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C./Rotterdam C.,defecte trein,2015-09-19 17:12,2015-09-19 18:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,defecte trein,2015-09-18 17:51,2015-09-18 19:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
