,11,21,22,31,41,51,61,71,81,82,91,101,111,121,122
101,81.0,63.0,38.0,26.0,26.0,75.0,46.0,38.0,55.0,44.0,25.0,11.0,73.0,53.0,28.0
102,86.0,63.0,41.0,27.0,26.0,73.0,49.0,40.0,56.0,52.0,26.0,12.0,82.0,52.0,30.0
103,86.0,64.0,40.0,30.0,26.0,78.0,52.0,41.0,59.0,53.0,30.0,12.0,78.0,54.0,30.0
104,94.0,60.0,37.0,31.0,27.0,86.0,45.0,47.0,59.5,57.0,29.5,12.0,83.0,60.0,38.0
105,93.0,59.0,37.0,29.0,29.0,81.0,44.0,47.0,59.0,57.0,28.0,13.0,88.0,61.0,38.0
106,94.0,62.0,41.0,29.0,30.0,75.0,46.0,44.0,57.0,53.0,26.0,12.0,94.0,64.0,41.0
107,97.0,64.0,43.0,30.0,26.0,81.0,43.0,45.0,57.0,54.0,25.0,12.0,88.0,62.0,37.0
108,105.5,64.0,46.0,31.0,24.0,77.0,48.0,44.0,58.0,50.5,25.5,12.0,91.0,64.0,39.0
109,114.0,68.0,51.0,30.0,23.5,78.0,47.0,46.0,56.0,50.0,22.0,11.0,88.5,61.5,36.5
110,117.0,68.0,49.0,29.0,23.0,80.0,49.0,46.0,56.0,49.0,21.0,12.0,93.0,63.0,39.0
111,122.0,68.0,52.0,28.5,24.0,81.0,47.0,49.5,57.5,50.5,22.0,11.0,92.0,63.0,40.0
112,120.5,68.0,51.0,29.0,21.0,76.0,50.0,48.5,54.0,49.5,21.5,12.0,91.0,66.0,42.0
113,112.0,64.0,46.0,27.0,21.0,74.0,46.0,44.0,52.0,45.0,22.0,12.0,86.0,59.0,35.0
114,99.0,58.0,38.0,27.0,19.5,68.0,44.0,43.0,51.0,44.0,23.5,12.0,82.0,54.0,30.0
115,85.0,52.0,31.0,24.0,20.0,64.0,39.0,41.0,51.0,43.0,24.0,10.0,74.0,49.0,26.0
116,78.5,53.5,29.5,23.0,18.0,63.0,37.0,36.0,48.0,41.0,21.5,10.0,75.0,46.0,23.5
117,73.0,52.0,28.0,23.0,18.0,62.0,36.0,31.0,43.0,33.0,19.0,9.0,63.0,44.0,22.0
118,61.0,53.0,27.0,23.0,21.0,59.0,36.0,33.0,44.0,33.0,22.0,9.0,65.0,42.0,21.0
119,51.0,49.0,23.0,22.0,18.0,58.0,34.0,28.0,42.0,33.0,20.0,7.0,54.0,37.0,17.0
120,52.0,48.5,22.0,21.0,18.0,54.0,34.0,26.0,41.5,31.5,19.0,7.0,57.5,35.0,16.0
121,47.0,48.0,22.0,20.0,18.0,52.0,31.0,25.0,40.0,30.0,18.0,8.0,52.0,34.0,15.0
122,43.0,46.0,18.0,21.0,16.0,46.0,30.0,25.0,38.0,28.0,18.0,7.0,51.0,32.0,13.0
123,41.0,40.0,17.0,18.0,14.0,42.0,25.0,23.0,37.0,27.0,17.0,6.0,41.0,28.0,10.0
124,39.0,36.0,14.0,14.0,14.0,37.0,21.0,21.0,34.0,25.0,16.0,5.0,42.0,26.0,10.0
