,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
101,19.0,5.0,67.0,56.0,30.0,26.0,9.0,9.0,78.0,56.0,33.0,11.0,37.0,13.0,20.0,9.0
102,19.0,5.0,64.0,56.0,28.0,21.0,8.0,9.0,82.0,56.0,33.0,12.0,37.0,13.0,20.0,8.0
103,19.0,5.0,62.0,52.0,27.0,22.0,8.0,9.0,82.0,55.0,36.0,12.0,37.0,13.0,20.0,9.0
104,18.0,4.5,62.0,53.0,28.0,19.5,7.0,10.0,89.5,64.0,37.0,12.0,37.5,15.0,27.0,12.0
105,21.0,5.0,62.0,57.0,30.0,22.0,7.5,8.5,95.0,63.0,35.0,13.0,39.0,16.0,31.0,14.0
106,22.0,5.0,65.0,61.0,28.0,22.5,7.5,8.5,96.5,67.0,36.0,14.0,43.0,17.0,36.0,17.0
107,21.0,6.0,62.0,60.0,25.0,31.0,10.0,7.0,103.0,69.0,38.0,13.0,47.0,17.0,42.0,23.0
108,19.0,5.0,63.0,61.0,27.0,25.0,8.0,6.5,107.0,70.5,33.0,13.0,46.0,18.0,52.5,27.0
109,18.0,4.0,63.5,61.5,25.0,21.0,8.0,6.0,104.5,67.5,34.0,11.0,49.5,15.5,53.0,27.5
110,17.0,4.0,63.5,65.0,24.0,17.0,7.0,4.0,100.0,62.0,31.5,11.0,51.0,16.0,56.0,29.5
111,15.0,4.0,65.0,67.0,21.0,18.0,6.0,4.0,107.0,67.0,33.0,12.0,58.0,16.0,55.0,28.0
112,15.0,4.0,66.0,68.0,20.0,12.0,4.0,4.0,107.0,68.0,33.0,12.0,61.0,16.0,64.0,33.0
113,13.0,3.0,62.0,63.0,18.0,9.0,4.0,2.0,105.5,67.5,34.0,12.0,63.0,15.0,61.0,29.0
114,12.0,3.0,61.0,57.0,16.0,8.0,3.0,3.0,99.0,60.0,30.0,10.0,62.0,16.0,54.0,24.0
115,14.0,3.0,57.0,53.0,16.0,8.0,2.0,2.0,88.0,51.0,29.0,10.0,52.0,13.0,45.5,19.0
116,13.0,3.0,54.0,46.0,15.0,8.0,2.0,2.0,83.0,49.0,27.0,8.0,44.0,11.0,41.0,16.0
117,10.0,3.0,50.0,40.0,13.0,7.0,2.0,2.0,76.0,40.0,24.0,6.0,39.0,10.0,32.0,11.0
118,10.0,2.0,49.0,35.0,14.0,5.0,1.0,2.0,65.0,35.0,22.0,5.0,34.0,8.0,23.0,7.0
119,10.0,2.0,47.0,33.0,12.0,5.0,1.0,1.0,58.0,28.0,19.0,4.0,28.0,6.0,18.0,6.0
120,9.0,2.0,44.0,30.0,11.0,5.0,1.0,1.0,57.0,29.0,18.0,4.0,25.0,7.0,16.0,5.0
121,8.0,2.0,43.5,26.0,12.0,5.0,1.0,1.0,49.5,24.5,16.0,3.0,23.5,6.0,13.0,4.5
122,8.0,2.0,38.0,24.0,10.0,3.0,1.0,1.0,52.0,24.0,16.0,3.0,21.0,6.0,14.0,4.0
