,21,31,32,41,42,51,52,53,54,55,56,61,71,81,82,111,112,121
117,46.0,66.0,55.0,147.5,77.5,113.0,67.0,72.0,61.5,106.0,64.5,23.0,40.0,33.0,5.0,91.0,87.0,25.0
118,45.0,67.0,56.0,146.0,77.5,112.0,69.0,73.5,60.5,100.0,65.5,22.0,37.0,33.5,5.0,75.0,70.0,22.0
119,43.0,68.0,54.0,136.0,73.0,105.0,65.0,75.0,58.0,100.0,61.0,20.0,35.0,32.0,4.0,69.0,63.0,22.0
120,42.0,64.0,48.0,133.0,69.0,106.0,63.0,65.0,58.0,101.0,59.0,18.0,34.0,30.0,4.0,66.0,57.0,20.0
121,42.0,63.0,48.0,126.5,67.5,101.0,62.0,55.0,54.0,95.5,60.0,19.0,32.0,29.0,3.0,57.0,50.0,17.5
122,40.0,61.0,43.0,125.5,66.0,97.0,60.0,65.0,51.0,98.5,54.5,16.0,31.0,28.0,3.0,53.0,48.0,17.0
123,36.0,55.0,40.0,116.0,60.0,92.0,57.0,56.0,47.0,96.0,54.0,17.0,30.0,27.0,4.0,48.0,44.0,17.0
124,33.0,50.0,37.0,114.0,58.0,92.0,53.0,67.5,46.0,95.5,52.0,15.0,28.0,26.0,3.0,44.5,39.0,15.0
125,33.0,47.0,34.0,107.0,54.0,86.0,52.0,54.0,41.0,96.0,47.0,14.0,26.0,24.0,3.0,40.0,36.0,14.0
126,31.0,47.0,30.0,102.0,51.0,80.0,50.0,52.0,39.0,90.0,43.0,14.0,24.0,23.0,3.0,40.0,34.0,14.0
127,28.0,43.0,30.0,98.0,49.0,79.0,47.0,52.0,39.0,87.0,44.0,13.0,24.0,22.0,3.0,39.0,33.0,13.0
128,28.0,41.0,27.0,95.0,50.0,78.0,47.0,59.0,38.0,86.0,43.0,13.0,24.0,21.0,3.0,36.0,32.0,13.0
129,27.0,38.0,25.0,91.0,47.0,73.0,45.0,51.0,37.0,82.0,42.0,12.0,22.0,20.0,2.0,38.0,31.0,12.0
130,25.0,37.0,24.0,88.0,44.0,73.0,46.0,50.0,36.0,81.0,41.0,12.0,22.0,20.0,2.0,37.0,30.0,11.0
131,26.0,37.0,23.0,82.0,42.0,66.0,41.0,53.0,32.0,80.0,39.0,12.0,22.0,21.0,2.0,35.0,30.0,10.0
132,23.0,36.0,21.0,83.0,41.0,67.0,41.0,52.0,30.0,78.0,37.0,12.0,21.0,18.0,2.0,32.0,27.0,10.0
133,22.0,32.0,21.0,71.0,36.0,62.0,39.0,48.0,28.0,71.0,33.0,11.0,19.0,18.0,2.0,32.0,26.0,9.0
134,21.0,31.0,19.0,65.0,32.0,55.0,34.0,43.0,24.0,64.0,28.0,9.0,18.0,17.0,1.0,27.0,24.0,9.0
135,18.0,29.0,18.0,67.0,31.0,55.0,33.0,41.0,23.0,65.0,28.0,8.0,19.0,18.0,3.0,27.0,24.0,8.0
