,11,21,22,31,32,41,42,51,52,61,62,71,81,82,101,111,112,121,122
121,14.0,25.0,32.0,31.0,11.0,36.0,19.0,13.0,3.0,16.0,3.0,20.0,39.0,28.0,25.0,17.0,2.0,17.0,3.0
122,12.0,23.0,28.0,28.0,8.0,31.0,16.0,12.0,3.0,12.0,2.0,18.0,38.0,27.0,22.0,13.0,2.0,14.0,2.0
123,10.0,19.0,23.0,25.0,7.0,34.0,18.0,12.0,2.0,13.0,2.0,17.0,40.0,27.0,20.0,12.0,1.0,15.0,2.0
124,9.0,17.0,22.0,21.0,6.0,30.0,15.0,11.0,2.0,11.0,2.0,16.0,36.0,25.0,17.0,12.0,1.0,13.0,2.0
125,8.0,15.0,18.0,21.0,5.0,29.0,15.0,11.0,2.0,10.0,2.0,13.0,34.0,23.0,15.0,12.0,1.0,13.0,1.0
126,8.0,15.0,18.0,21.0,5.0,30.0,14.0,10.0,2.0,9.0,2.0,14.0,36.0,22.0,14.0,10.0,1.0,11.0,1.0
127,7.0,16.0,16.0,22.0,5.0,30.0,14.0,10.0,2.0,11.0,2.0,14.0,36.0,21.0,14.0,12.0,1.0,11.0,1.0
128,7.0,15.0,17.0,21.0,5.0,30.0,13.0,10.0,2.0,10.0,2.0,14.0,36.0,21.0,13.0,10.0,1.0,12.0,1.0
129,7.0,15.0,16.0,20.0,5.0,28.0,13.0,9.0,1.0,10.0,1.0,13.0,39.0,22.0,13.0,10.0,1.0,11.0,1.0
130,7.0,14.0,17.0,20.0,5.0,28.0,14.0,9.0,1.0,8.0,1.0,14.0,39.0,23.0,12.0,9.0,1.0,11.0,1.0
131,7.0,14.0,17.0,20.0,5.0,30.0,14.0,9.0,1.0,8.0,1.0,12.0,40.0,24.0,11.0,11.0,1.0,10.0,1.0
132,7.0,15.0,15.0,20.0,4.0,28.0,12.0,8.0,1.0,7.0,1.0,13.0,34.0,20.0,11.0,8.0,1.0,10.0,0.0
133,6.0,14.0,15.0,18.0,4.0,26.0,11.0,7.0,1.0,8.0,1.0,10.0,30.0,18.0,9.0,8.0,0.0,7.0,1.0
134,5.0,10.0,13.0,16.0,3.0,25.0,11.0,8.0,1.0,7.0,1.0,11.0,31.0,16.0,7.0,6.0,0.0,7.0,0.0
135,4.0,9.0,11.0,14.0,2.0,21.0,9.0,7.0,1.0,6.0,1.0,8.0,23.0,12.0,7.0,6.0,0.0,5.0,0.0
136,3.0,8.0,10.0,13.0,2.0,20.0,8.0,6.0,1.0,5.0,1.0,7.0,21.0,11.0,6.0,5.0,0.0,4.0,0.0
137,2.0,6.0,8.0,10.0,2.0,16.0,6.0,5.0,1.0,5.0,1.0,6.0,15.0,8.0,5.0,6.0,0.0,3.0,0.0
138,2.0,4.0,7.0,8.0,1.0,14.0,5.0,6.0,0.0,4.0,1.0,7.0,14.0,7.0,4.0,3.0,0.0,3.0,0.0
139,2.0,3.0,5.0,7.0,1.0,12.0,5.0,4.0,0.0,3.0,0.0,4.0,10.0,6.0,4.0,5.0,0.0,3.0,0.0
140,1.0,3.0,4.0,6.0,1.0,13.0,4.0,4.0,0.0,4.0,0.0,4.0,9.0,5.0,3.0,4.0,0.0,3.0,0.0
141,1.0,2.0,4.0,4.0,1.0,13.0,4.0,3.0,0.0,3.0,0.0,3.0,8.0,4.0,3.0,3.0,0.0,2.0,0.0
142,1.0,1.5,3.0,4.0,0.0,9.0,3.0,3.0,0.0,2.0,0.0,3.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0
143,0.5,1.0,3.0,3.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,2.0,7.0,3.0,2.0,2.0,0.0,1.0,0.0
144,0.0,1.0,2.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0
145,0.0,1.0,2.0,2.0,0.0,4.5,2.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,1.5,0.0,0.0,0.0
146,0.0,1.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0
147,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0
148,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
149,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
150,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
151,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
152,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
153,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
154,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
155,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,0.5,0.0,0.0,0.0
156,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,2.0,2.0,0.0,2.5,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,1.0,1.0,0.0,1.0,0.0
158,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
159,0.0,1.0,4.0,2.0,0.0,4.5,1.0,0.5,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0
160,1.0,2.0,8.0,4.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0
161,1.0,4.0,9.0,10.0,1.0,9.0,2.0,1.0,0.0,2.0,0.0,1.0,10.0,3.0,2.0,1.0,0.0,4.0,0.0
162,4.0,6.0,12.0,16.0,2.0,9.0,2.0,2.0,0.0,2.0,0.0,2.0,12.0,6.0,4.0,2.0,0.0,6.0,0.0
163,6.0,15.0,20.0,21.0,3.0,13.0,4.0,2.0,0.0,6.0,1.0,5.0,17.0,5.0,4.0,3.0,0.0,7.0,0.0
164,12.0,37.0,45.0,39.0,10.0,17.0,4.0,4.0,1.0,7.0,1.0,8.0,21.0,6.0,7.0,5.0,0.0,9.0,1.0
165,19.0,46.0,66.5,51.0,18.0,19.0,5.0,6.0,1.0,11.5,1.0,8.0,26.0,9.0,9.0,6.0,0.0,14.0,2.0
166,31.0,59.0,83.0,64.0,28.0,20.0,6.0,8.0,1.0,11.0,2.0,12.0,34.0,17.0,12.0,10.0,1.0,14.0,2.0
167,36.0,52.0,78.0,58.0,26.0,25.0,9.0,8.0,2.0,10.0,2.0,13.0,38.5,22.0,11.0,9.0,1.0,16.0,3.0
168,42.0,63.0,95.0,62.0,29.0,26.0,13.0,9.0,2.0,10.0,3.0,15.0,45.0,26.0,15.0,12.0,1.0,20.0,4.0
169,40.0,78.0,113.0,62.0,33.0,27.0,13.0,12.0,2.0,15.0,4.0,18.0,48.0,33.0,20.0,14.0,2.0,26.0,8.0
170,46.0,91.0,126.0,65.0,38.0,30.0,16.0,11.0,3.0,18.0,4.0,22.0,49.0,40.0,24.0,17.0,2.0,25.0,9.0
171,45.0,85.0,122.0,70.0,38.0,30.0,19.0,15.0,5.0,20.0,5.0,22.0,54.0,45.0,29.0,17.0,3.0,28.0,11.0
172,48.0,80.0,119.0,68.0,42.0,32.0,20.0,19.0,7.0,22.0,6.0,24.0,57.0,50.0,28.0,20.0,4.0,30.0,12.0
