out,in
564.0,896.0
544.0,768.0
476.0,680.0
568.0,480.0
348.0,480.0
196.0,336.0
180.0,236.0
204.0,196.0
100.0,164.0
80.0,176.0
116.0,108.0
76.0,152.0
48.0,68.0
76.0,48.0
60.0,76.0
60.0,72.0
64.0,64.0
44.0,80.0
96.0,64.0
72.0,112.0
80.0,100.0
84.0,120.0
192.0,156.0
204.0,260.0
212.0,332.0
380.0,336.0
500.0,408.0
816.0,476.0
900.0,500.0
1520.0,696.0
2220.0,1144.0
2700.0,1904.0
3088.0,2140.0
3460.0,2240.0
3344.0,2624.0
3316.0,3180.0
3244.0,2792.0
3292.0,2700.0
3252.0,2528.0
3236.0,2308.0
3036.0,1940.0
2692.0,1932.0
2236.0,1960.0
2001.0,1984.0
1968.0,2352.0
1820.0,1992.0
1992.0,1660.0
1756.0,1796.0
1724.0,1736.0
1720.0,1740.0
1760.0,1920.0
1856.0,1264.0
1856.0,2056.0
2036.0,1851.0
2143.0,2126.0
2232.0,1968.0
2296.0,1912.0
2062.0,1985.0
2244.0,2184.0
2104.0,2268.0
2016.0,2176.0
2196.0,2224.0
2224.0,2344.0
2224.0,2628.0
2328.0,2776.0
2344.0,2452.0
2156.0,2816.0
2340.0,2872.0
2496.0,3200.0
2388.0,3184.0
2680.0,3576.0
2640.0,3444.0
2488.0,3628.0
2596.0,3484.0
2568.0,3592.0
2368.0,3628.0
2256.0,3532.0
2504.0,3168.0
2128.0,3088.0
1688.0,2636.0
1492.0,2232.0
1712.0,2084.0
1448.0,2220.0
1208.0,1744.0
1176.0,1688.0
1264.0,1440.0
1068.0,1344.0
936.0,1204.0
1008.0,1160.0
980.0,1104.0
1104.0,1064.0
1112.0,988.0
988.0,972.0
1000.0,964.0
936.0,1164.0
832.0,964.0
684.0,856.0
512.0,880.0
512.0,812.0
476.0,536.0
380.0,516.0
272.0,424.0
244.0,320.0
200.0,224.0
180.0,216.0
136.0,192.0
100.0,144.0
112.0,148.0
104.0,136.0
104.0,92.0
64.0,64.0
80.0,132.0
68.0,104.0
52.0,80.0
56.0,124.0
108.0,124.0
80.0,168.0
124.0,176.0
112.0,240.0
188.0,344.0
224.0,424.0
484.0,316.0
500.0,536.0
772.0,612.0
832.0,568.0
1420.0,760.0
1912.0,1236.0
2284.0,1856.0
2508.0,1884.0
2876.0,1956.0
3180.0,2372.0
3496.0,3200.0
3208.0,2904.0
2988.0,2576.0
3184.0,2256.0
3380.0,2524.0
3072.0,2284.0
2548.0,2036.0
2192.0,1852.0
2248.0,1928.0
2156.0,2124.0
2120.0,1800.0
2048.0,1860.0
2014.0,2048.0
1820.0,1988.0
2208.0,1836.0
1984.0,1916.0
2236.0,2132.0
2296.0,2072.0
2200.0,2244.0
2112.0,2348.0
2476.0,2460.0
2228.0,2344.0
2288.0,2143.0
2444.0,2324.0
2504.0,2360.0
2372.0,2424.0
2480.0,2384.0
2456.0,2684.0
2424.0,2828.0
2740.0,3140.0
2460.0,2766.0
2676.0,3016.0
2696.0,3248.0
3024.0,3200.0
2708.0,3156.0
3004.0,3508.0
2808.0,3504.0
2736.0,3484.0
2660.0,3584.0
2880.0,3544.0
2668.0,3456.0
2440.0,3212.0
2216.0,3040.0
2088.0,2860.0
2104.0,2504.0
1696.0,2220.0
1732.0,2076.0
1448.0,1852.0
1496.0,2104.0
1364.0,1636.0
1424.0,1524.0
1272.0,1420.0
1132.0,1156.0
1056.0,1140.0
948.0,1128.0
1056.0,1180.0
948.0,1068.0
960.0,900.0
911.0,900.0
884.0,920.0
916.0,972.0
